City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
586,Sofia,BG,42.6975,23.3242,62.28,87,9,2.3,clear sky
587,Lesnoy,RU,57.6198,63.0784,46.18,97,100,9.55,overcast clouds
588,Lisburn,GB,54.5234,-6.0353,56.64,77,100,16.11,moderate rain
589,Tukrah,LY,32.5341,20.5791,78.46,69,0,5.61,clear sky
590,Seminole,US,28.7086,-81.2081,87.26,76,20,10.36,few clouds
591,Bouna,CI,9.2667,-3.0,71.85,93,99,4.0,overcast clouds
592,Leshukonskoye,RU,64.8989,45.7622,40.06,76,35,9.91,scattered clouds
593,Angra Dos Reis,BR,-23.0067,-44.3181,63.59,83,64,4.0,broken clouds
594,Belyy Yar,RU,53.6039,91.3903,71.49,60,0,6.71,clear sky
595,Somerset East,ZA,-32.7217,25.588,51.85,35,0,4.83,clear sky
596,Buchanan,LR,5.8808,-10.0467,77.7,87,87,8.93,overcast clouds
597,Dehloran,IR,32.6941,47.2679,87.62,19,0,7.76,clear sky
598,Thakurganj,IN,26.45,88.1333,76.98,95,100,4.56,light rain
599,Kasongo-Lunda,CD,-6.4667,16.8167,68.99,42,15,1.99,few clouds
600,Khandbari,NP,27.3747,87.2039,72.21,93,100,1.12,overcast clouds
601,Bull Savanna,JM,17.8868,-77.5902,79.54,76,83,9.55,broken clouds
602,Barra De Sao Francisco,BR,-18.755,-40.8908,59.99,70,54,3.0,broken clouds
603,Sambava,MG,-14.2667,50.1667,70.34,72,73,15.17,light rain
604,Pishin,PK,30.5803,66.9961,79.38,25,6,0.78,clear sky
605,Cajati,BR,-24.7361,-48.1228,61.2,96,95,1.52,overcast clouds
606,Mount Pleasant,US,32.7941,-79.8626,86.31,61,100,6.91,overcast clouds
607,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,59.32,71,91,10.2,overcast clouds
608,Dhidhdhoo,MV,6.8833,73.1,82.76,76,34,14.88,scattered clouds
609,Thompson,CA,55.7435,-97.8558,48.45,81,100,9.82,overcast clouds
