City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Awjilah,LY,2022-06-21 03:57:33,29.1081,21.2869,77.81,35,0,8.08
221,Saint-Denis,FR,2022-06-21 03:55:53,48.9167,2.3333,62.38,79,75,12.66
222,Kangundo,KE,2022-06-21 03:58:46,-1.2979,37.3471,53.94,94,55,2.68
223,Novyy Oskol,RU,2022-06-21 03:58:46,50.7631,37.8691,66.06,73,0,7.74
224,Arona,ES,2022-06-21 03:58:47,28.0996,-16.681,64.81,76,40,11.5
225,Bridlington,GB,2022-06-21 03:58:47,54.0831,-0.1919,52.9,83,14,8.08
226,Aksarka,RU,2022-06-21 03:58:48,66.5606,67.7975,57.99,97,100,10.11
227,Soyo,AO,2022-06-21 03:58:48,-6.1349,12.3689,70.72,83,49,8.95
228,Grand Gaube,MU,2022-06-21 03:58:49,-20.0064,57.6608,68.4,66,9,3.0
229,Tocopilla,CL,2022-06-21 03:58:49,-22.092,-70.1979,56.73,70,11,0.72
230,Vista Hermosa,MX,2022-06-21 03:58:50,19.5167,-99.2167,65.55,61,100,9.04
231,Hamilton,US,2022-06-21 03:59:50,39.1834,-84.5333,70.0,76,93,3.04
232,Glace Bay,CA,2022-06-21 03:59:05,46.1969,-59.957,51.58,93,20,9.22
233,Copacabana,CO,2022-06-21 03:59:51,6.3463,-75.5089,66.63,98,100,1.97
234,Roald,NO,2022-06-21 03:59:52,62.5833,6.1333,59.16,93,100,17.27
235,Mbouda,CM,2022-06-21 03:59:52,5.6258,10.2552,60.82,93,100,1.86
236,Santiago,CL,2022-06-21 03:56:40,-33.4569,-70.6483,52.18,68,75,0.0
237,Ciudad Real,ES,2022-06-21 03:59:53,39.0,-4.0,62.06,44,1,4.0
238,Teguise,ES,2022-06-21 03:59:53,29.0605,-13.564,66.42,78,40,14.97
239,Halifax,CA,2022-06-21 03:56:11,44.6453,-63.5724,54.34,89,75,8.05
240,Mayumba,GA,2022-06-21 03:59:54,-3.432,10.6554,69.85,90,45,10.16
241,Torbay,CA,2022-06-21 03:59:09,47.6666,-52.7314,56.17,95,100,16.11
242,Surt,LY,2022-06-21 03:59:55,31.2089,16.5887,73.4,76,0,9.66
243,Iqaluit,CA,2022-06-21 03:59:55,63.7506,-68.5145,44.33,70,20,9.22
244,Camacha,PT,2022-06-21 03:55:33,33.0833,-16.3333,62.02,72,40,11.5
245,Muyuka,CM,2022-06-21 03:59:56,4.2898,9.4103,74.8,93,91,0.92
246,Altoona,US,2022-06-21 03:55:02,40.5187,-78.3947,65.64,63,100,3.0
247,Aneho,TG,2022-06-21 03:59:57,6.2333,1.6,77.2,86,78,7.05
248,Saurimo,AO,2022-06-21 03:59:57,-9.6608,20.3916,56.32,54,0,1.95
249,Sisimiut,GL,2022-06-21 03:59:58,66.9395,-53.6735,34.48,95,100,7.83
250,Kaz,RU,2022-06-21 03:59:58,52.9113,87.3105,72.39,54,16,2.33
251,Porto Belo,BR,2022-06-21 03:59:59,-27.1578,-48.5531,58.15,93,27,4.52
252,Taranagar,IN,2022-06-21 03:59:59,28.6709,75.0351,88.39,42,29,5.01
253,Madimba,TZ,2022-06-21 04:00:00,-10.4,40.3333,70.92,94,20,18.41
254,Hazorasp,UZ,2022-06-21 04:00:01,41.3194,61.0742,78.64,27,3,5.32
255,Gornyy,RU,2022-06-21 04:00:01,55.1153,83.9059,67.33,68,11,5.53
256,Kudahuvadhoo,MV,2022-06-21 04:00:03,2.6708,72.8944,83.71,71,95,11.74
